Campaign,Date,City/Location,Channel,Device,Ad,Impressions,"CTR, %",Clicks,Daily Average CPC,"Spend, INR",Conversions,"Total conversion value, INR",Likes (Reactions),Shares,Comments
Festival Delight,2/3/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2681,1.3%,36,47,1701,14,97,30,9,20
Festival Delight,2/4/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3445,1.6%,57,22,1254,0,0,65,54,17
Festival Delight,2/5/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3193,1.3%,43,28,1196,0,0,31,2,20
Festival Delight,2/6/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4244,1.7%,73,28,2016,14,13253,50,18,0
Festival Delight,2/7/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5259,2.0%,104,5,508,3,14538,39,20,23
Festival Delight,2/8/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3922,2.0%,79,46,3674,14,21164,75,4,10
Festival Delight,2/9/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3067,1.8%,54,47,2526,10,10278,90,49,17
Festival Delight,2/10/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3593,2.0%,72,14,1020,7,5747,86,20,3
Festival Delight,2/11/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4013,1.5%,62,27,1684,7,5699,33,51,7
Festival Delight,2/12/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5358,2.0%,109,25,2686,7,4733,101,9,17
Festival Delight,2/13/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3947,2.0%,78,50,3907,14,5342,91,36,20
Festival Delight,2/14/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,6486,1.7%,113,33,3713,7,773,82,25,3
Festival Delight,2/15/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5455,1.7%,94,39,3631,10,3381,86,7,7
Festival Delight,2/16/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3629,1.2%,42,36,1506,0,0,34,0,13
Festival Delight,2/17/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5534,1.4%,77,47,3600,14,4260,81,11,20
Festival Delight,2/18/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5622,1.5%,83,16,1339,10,4395,86,11,10
Festival Delight,2/19/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4941,1.6%,78,32,2514,0,0,70,2,0
Festival Delight,5/27/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4177,1.5%,63,42,2650,3,3574,15,38,20
Festival Delight,5/28/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2850,1.8%,50,14,695,3,3284,62,45,23
Festival Delight,5/29/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4838,1.7%,81,32,2589,10,8249,20,49,17
Festival Delight,5/30/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3210,1.9%,60,54,3198,7,9331,30,38,20
Festival Delight,5/31/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4211,1.6%,68,13,859,7,18459,71,16,7
Festival Delight,6/1/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3100,1.6%,49,57,2808,17,1835,52,20,17
Festival Delight,6/2/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2862,1.6%,46,27,1228,10,1449,11,47,17
Festival Delight,6/3/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4948,1.6%,77,43,3319,10,4250,75,2,10
Festival Delight,6/4/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5876,1.6%,97,20,1921,10,5120,59,7,13
Festival Delight,6/5/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3221,2.2%,71,12,879,7,4637,81,7,23
Festival Delight,6/6/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3428,2.0%,69,22,1519,14,290,66,9,3
Festival Delight,6/7/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5323,1.3%,71,43,3030,17,1352,65,27,0
Festival Delight,6/8/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4596,2.2%,102,47,4788,10,386,97,16,3
Festival Delight,6/9/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5800,1.9%,109,15,1585,17,2705,65,18,10
Festival Delight,12/25/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5560,1.6%,91,48,4326,14,869,34,51,0
Festival Delight,12/26/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4806,1.5%,73,36,2614,14,5313,93,4,7
Festival Delight,12/27/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5533,2.1%,114,22,2478,7,4666,93,2,3
Festival Delight,12/28/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3829,1.5%,58,13,754,7,1256,66,36,3
Festival Delight,12/29/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5164,1.3%,66,26,1705,0,0,66,9,17
Festival Delight,12/30/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3118,1.6%,51,39,2000,7,8587,55,20,27
Festival Delight,12/31/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5894,2.0%,116,48,5572,10,15349,31,33,13
Festival Delight,11/17/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,6418,1.9%,122,19,2276,17,6424,55,11,0
Festival Delight,11/18/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5423,1.3%,73,29,2130,0,0,76,4,13
Festival Delight,11/19/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,6410,2.0%,129,31,3948,7,12306,75,2,3
Festival Delight,11/20/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4088,1.4%,58,44,2529,7,18054,37,4,17
Festival Delight,11/21/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2908,1.9%,55,32,1764,10,2898,70,4,20
Festival Delight,11/22/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4003,1.6%,63,11,706,0,0,28,36,13
Festival Delight,11/23/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3357,2.1%,71,29,2077,14,6965,62,40,20
Heritage Exclusive Sale,11/24/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1869,1.6%,31,17,515,10,5023,37,29,0
Heritage Exclusive Sale,11/25/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2176,1.5%,32,25,807,10,13929,89,2,13
Heritage Exclusive Sale,11/26/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1829,1.9%,35,27,937,17,5409,74,11,40
Heritage Exclusive Sale,11/27/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1631,1.4%,23,32,733,3,10886,23,11,17
Heritage Exclusive Sale,11/28/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2676,1.4%,37,47,1712,14,966,36,2,0
Heritage Exclusive Sale,11/29/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3517,1.2%,42,30,1263,21,5612,37,11,3
Heritage Exclusive Sale,11/30/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3141,1.9%,59,24,1409,21,15890,59,58,0
Heritage Exclusive Sale,12/1/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2456,1.9%,46,48,2207,14,29210,57,7,17
Heritage Exclusive Sale,12/2/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2691,1.3%,36,35,1253,14,22381,70,22,3
Heritage Exclusive Sale,12/3/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2176,1.6%,35,46,1606,24,10481,37,56,30
Heritage Exclusive Sale,12/4/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1366,1.5%,21,31,649,17,4868,73,9,27
Heritage Exclusive Sale,12/5/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1629,1.7%,28,21,596,7,14538,46,60,27
Heritage Exclusive Sale,12/6/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2885,1.4%,41,49,2014,10,1352,42,47,3
Heritage Exclusive Sale,12/7/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1867,1.7%,31,37,1163,3,7370,52,20,20
Heritage Exclusive Sale,7/8/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1761,1.4%,25,7,168,14,4154,28,49,7
Heritage Exclusive Sale,7/9/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,860,1.3%,11,23,255,10,483,79,7,37
Heritage Exclusive Sale,7/10/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2054,1.6%,33,24,807,17,18256,90,49,3
Heritage Exclusive Sale,7/11/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1709,1.9%,33,37,1219,17,10616,71,49,30
Heritage Exclusive Sale,7/12/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1628,1.4%,22,50,1117,10,290,76,13,17
Heritage Exclusive Sale,7/13/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3814,1.9%,71,30,2152,14,8587,42,42,17
Heritage Exclusive Sale,7/14/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1504,1.7%,26,23,585,21,5216,39,16,17
Heritage Exclusive Sale,7/15/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2080,1.6%,32,25,813,10,1063,65,29,40
Heritage Exclusive Sale,7/16/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,898,1.4%,12,19,241,3,386,82,22,27
Heritage Exclusive Sale,7/17/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3648,1.6%,60,19,1148,14,16904,64,47,17
Heritage Exclusive Sale,7/18/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1278,1.2%,15,26,396,14,12239,92,36,10
Heritage Exclusive Sale,7/19/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1994,1.5%,29,22,631,14,4830,71,18,23
Heritage Exclusive Sale,7/20/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1117,1.4%,16,30,465,14,26506,34,2,27
Heritage Exclusive Sale,7/21/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3428,1.9%,64,21,1361,10,11698,43,40,10
Heritage Exclusive Sale,7/22/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1364,1.4%,20,36,716,17,1642,34,38,13
Heritage Exclusive Sale,7/23/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1918,1.2%,24,23,540,21,6965,71,29,13
Heritage Exclusive Sale,7/24/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3440,1.7%,59,36,2128,24,1642,32,16,3
Heritage Exclusive Sale,7/25/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1840,1.5%,28,6,156,10,7641,90,38,43
Heritage Exclusive Sale,7/26/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2448,2.0%,48,24,1126,3,10548,91,16,30
Heritage Exclusive Sale,7/27/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1662,1.5%,25,36,906,21,2608,68,4,27
Heritage Exclusive Sale,7/28/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2127,1.3%,28,34,977,14,6153,53,9,7
Heritage Exclusive Sale,7/29/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1479,1.6%,24,33,812,17,6626,87,47,20
Heritage Exclusive Sale,7/30/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1550,1.7%,27,14,375,7,5023,54,42,20
Heritage Exclusive Sale,7/31/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4193,1.7%,70,28,1940,17,2125,42,31,40
Heritage Exclusive Sale,8/1/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3386,1.6%,54,35,1897,21,2125,23,29,27
Heritage Exclusive Sale,8/2/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1759,1.7%,30,50,1482,14,1063,75,31,30
Heritage Exclusive Sale,8/3/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1567,1.4%,23,19,433,21,15958,96,62,33
Heritage Exclusive Sale,8/4/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1548,1.2%,19,40,758,7,4868,91,31,40
Heritage Exclusive Sale,8/5/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3608,1.4%,52,27,1387,17,3091,95,31,13
Heritage Exclusive Sale,8/6/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1795,2.0%,35,46,1608,10,5747,59,4,7
Heritage Exclusive Sale,8/7/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2952,1.5%,43,54,2321,10,10616,64,60,3
Heritage Exclusive Sale,8/8/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2872,1.3%,37,36,1317,17,5747,48,7,17
Heritage Exclusive Sale,8/9/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1026,2.0%,20,22,447,0,0,31,31,20
Heritage Exclusive Sale,8/10/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2341,1.6%,38,13,509,3,10954,95,58,40
Heritage Exclusive Sale,8/11/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2233,1.4%,31,17,523,7,5612,34,60,33
Heritage Exclusive Sale,8/12/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3444,1.4%,48,8,376,3,5680,80,11,23
Heritage Exclusive Sale,8/13/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1935,1.7%,33,24,773,0,0,90,71,7
Heritage Exclusive Sale,8/14/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2979,1.6%,47,9,408,3,1739,69,60,0
Heritage Exclusive Sale,8/15/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2810,1.3%,36,51,1799,3,9602,84,54,13
Heritage Exclusive Sale,8/16/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2991,1.9%,57,14,789,0,0,65,20,10
Heritage Exclusive Sale,8/17/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2349,1.8%,43,12,511,7,5409,74,9,17
Heritage Exclusive Sale,8/18/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1603,1.5%,24,36,887,7,5950,68,31,7
Heritage Exclusive Sale,8/19/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,978,1.5%,15,2,34,10,9263,69,42,20
Heritage Exclusive Sale,8/20/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1325,1.8%,24,39,929,7,18324,39,7,13
Heritage Exclusive Sale,8/21/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2207,1.8%,40,46,1849,3,2222,80,38,10
Heritage Exclusive Sale,8/22/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3184,2.0%,62,38,2385,3,18730,66,51,3
Heritage Exclusive Sale,8/23/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2634,1.4%,37,21,780,3,17242,64,54,30
Heritage Exclusive Sale,8/24/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1247,1.4%,17,36,608,3,5477,54,16,7
Heritage Exclusive Sale,8/25/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2982,1.7%,50,43,2163,17,10548,60,31,20
Heritage Exclusive Sale,8/26/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2036,2.0%,40,26,1047,7,14740,85,29,30
Heritage Exclusive Sale,8/27/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4069,1.2%,50,33,1653,10,6356,34,7,13
Heritage Exclusive Sale,8/28/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4089,1.6%,64,3,168,0,0,58,51,23
Heritage Exclusive Sale,8/29/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2409,1.8%,43,24,1052,7,5477,37,54,0
Heritage Exclusive Sale,8/30/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,873,1.3%,12,42,493,10,21570,89,49,17
Heritage Exclusive Sale,8/31/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3065,1.3%,39,44,1700,10,6829,81,56,33
Heritage Exclusive Sale,9/1/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2560,1.9%,48,40,1908,7,1159,66,20,23
Heritage Exclusive Sale,9/2/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3133,1.6%,52,34,1778,7,27993,66,33,10
Heritage Exclusive Sale,9/3/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3869,1.9%,72,14,991,10,10413,37,25,13
Heritage Exclusive Sale,9/4/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3448,1.6%,54,36,1911,7,30292,66,27,13
Heritage Exclusive Sale,9/5/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2090,1.3%,27,43,1170,7,4926,84,0,27
Heritage Exclusive Sale,9/6/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2346,1.9%,43,47,2047,10,41111,44,4,10
Heritage Exclusive Sale,9/7/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2276,1.7%,39,28,1118,7,24410,68,13,20
Heritage Exclusive Sale,9/8/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1382,1.9%,27,25,678,3,29548,80,49,23
Heritage Exclusive Sale,9/9/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3178,1.8%,58,37,2187,14,5545,82,62,20
Heritage Exclusive Sale,9/10/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2777,1.8%,51,22,1109,7,8452,80,38,17
Heritage Exclusive Sale,9/11/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1768,1.4%,26,45,1148,3,7438,73,16,17
Heritage Exclusive Sale,9/12/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3392,1.4%,49,50,2442,3,2511,52,58,17
Heritage Exclusive Sale,9/13/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3495,1.2%,41,9,370,10,27655,81,13,3
Heritage Exclusive Sale,9/14/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2456,1.8%,43,15,663,7,23463,25,51,10
Heritage Exclusive Sale,9/15/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1675,1.8%,29,46,1368,17,3381,96,40,10
Heritage Exclusive Sale,9/16/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3506,1.6%,56,34,1922,7,3477,60,60,23
Heritage Exclusive Sale,9/17/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1962,2.0%,39,10,398,10,18189,48,67,27
Heritage Exclusive Sale,9/18/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3081,1.6%,49,10,518,3,13794,85,36,10
Heritage Exclusive Sale,9/19/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,3398,1.6%,56,8,437,7,676,58,42,23
Heritage Exclusive Sale,9/20/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1196,2.0%,23,13,316,17,386,36,65,7
Heritage Exclusive Sale,9/21/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2084,1.2%,25,15,358,0,0,50,49,33
Heritage Exclusive Sale,9/22/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,1571,1.7%,26,7,188,7,5545,39,18,0
Heritage Exclusive Sale,9/23/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,2244,1.2%,28,24,679,7,10413,79,58,17
Spice Bazaar ,9/24/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,6812,1.9%,131,28,3688,3,6762,87,13,13
Spice Bazaar ,9/25/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,7911,1.4%,111,33,3693,0,0,90,42,20
Spice Bazaar ,9/26/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5358,2.0%,109,12,1350,3,9263,91,47,7
Spice Bazaar ,9/27/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5335,2.1%,111,54,5997,7,5815,68,78,27
Spice Bazaar ,9/28/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5539,1.2%,69,33,2245,10,17242,84,13,0
Spice Bazaar ,9/29/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5850,1.5%,91,43,3862,0,0,106,40,17
Spice Bazaar ,9/30/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,6442,1.3%,82,40,3328,7,4260,64,71,23
Spice Bazaar ,10/1/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5165,2.1%,108,31,3405,7,17513,41,76,13
Spice Bazaar ,10/2/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,8743,2.2%,189,7,1416,7,30698,54,51,17
Spice Bazaar ,10/3/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,4854,1.4%,67,43,2882,7,15349,66,42,0
Spice Bazaar ,10/4/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,5384,1.9%,100,30,2963,7,7776,96,54,7
Spice Bazaar ,10/5/2023,Ahmedabad,YouTube,Smartphone,Exclusive Sale,7134,1.7%,122,43,5187,7,676,113,40,13
